comment,comment_type
In what year was the Main Building at Notre Dame razed in a fire?,1
Who was the president of Notre Dame in 1879?,1
On what date was the rebuilding of The Main Building begun at Notre Dame after the fire that claimed the previous?,1
What was the music hall at Notre Dame called?,1
What did the Science Hall at Notre Dame come to be known as?,1
"In 1919 a new president of Notre Dame was named, who was it?",1
Over how many years did the change to national standards undertaken at Notre Dame in the early 20th century take place?,1
What type of education was pushed at Notre Dame before its embracing of national standards?,1
Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,1
Which college did Notre Dame add in 1921?,1
"The Notre Dame football team got a new head coach in 1918, who was it?",1
What was the amount of wins Knute Rockne attained at Notre Dame while head coach?,1
How many years was Knute Rockne head coach at Notre Dame?,1
How many national titles were won when Knute Rockne coached at Notre Dame?,1
In what year did the team lead by Knute Rockne win the Rose Bowl?,1
"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?",1
Notre Dame students had a showdown in 1924 with which anti-catholic group?,1
What type of event did the Klan intend to have at Notre Dame in March of 1924?,1
Where did Notre Dame students and the KKK have their encounter?,1
Which college president of Notre Dame is credited with preventing more confrontations between students and the KKK?,1
Which person became vice-president of Notre Dame in 1933?,1
Who was the president of Notre Dame in 1934?,1
Irvin Abell was given what award by Notre Dame?,1
Which year was the Laetare Medal first given out at Notre Dame?,1
For whos glory did Father O'Hara believed that the Notre Dame football team played?,1
Which president did Notre Dame have in 1947?,1
Around the time that Rev. Cavanaugh became president of Notre Dame by how much did the undergrad student body of Notre Dame increase?,1
Which institute involving animal life did Cavanaugh create at Notre Dame?,1
"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?",1
What is O'Shaughnessy Hall of Notre Dame formerly known as?,1
What was the lifespan of Theodore Hesburgh?,1
During what years was Theodor Hesburgh president of Notre Dame?,1
In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?,1
What was the size of the Notre Dame endowment when Theodore Hesburgh became president?,1
How many faculty members were at Notre Dame when Hesburgh left the role of president?,1
What type of educational institute is Hesburgh given credit for creating at Notre Dame?,1
With what institute did Notre Dame agree to an exchange program in the 1960s?,1
Which role did Charles Sheedy have at Notre Dame?,1
What title did Thomas Blantz have at Notre Dame?,1
In what year did Notre Dame have its earliest undergraduate that was female?,1
During what years was Edward Malloy president of Notre Dame?,1
The amount of professors at Notre Dame increased by what amount under Malloy?,1
"What was the SAT score, on average, at Notre Dame when Edward Malloy became president?",1
When Malloy became president of Notre Dame what was the size of the endowment?,1
When Malloy reached the end of his time as president how much annuals funding for research did Notre Dame have?,1
When did John Jenkins become the president of Notre Dame?,1
"In terms of the amount of presidents Notre Dame has had, where is John Jenkins on the list?",1
Who was the Notre Dame president that preceded John Jenkins?,1
Which arena was constructed under Jenkins at Notre Dame?,1
How much money was spent on enhancing Notre Dame Stadium under John Jenkins?,1
Which congregation is in charge of the Old College at Notre Dame?,1
What structure is found on the location of the original church of Father Sorin at Notre Dame?,1
In which architectural style is the Basilica of the Sacred Heart at Notre Dame made?,1
Which individual painted the inside of the Basilica of the Sacred Heart at Notre Dame?,1
In what year was the Grotto of Our Lady of Lourdes at Notre Dame constructed?,1
Which person oversaw the creation of a science hall at Notre Dame in 1883?,1
In what year did the student union building at Notre Dame get renamed to LaFortune Center?,1
"The school known as Notre Dame is known by a more lengthy name, what is it?",1
What type of institution is the Notre Dame?,1
The French words Notre Dame du Lac translate to what in English?,1
Who is the patron saint of Notre Dame?,1
How large is Notre Dame in acres?,1
What caused Notre Dame to become notable in the early 20th century?,1
Which 20th century Notre Dame football coach is most notable?,1
Which athletic association are the student athletes at Notre Dame a part of?,1
How many students at Notre Dame received the Heisman Trophy?,1
"There were multiple students from Notre Dame who entered the Pro Football Hall of Fame, how many?",1
Where among US universities does Notre Dame rank?,1
How many individual colleges are part of Notre Dame?,1
Which prize does the Architecture School at Notre Dame give out?,1
How many doctorate and masters programs are available at Notre Dame?,1
Which art museum does Notre Dame administer?,1
In what year was Father Edward Sorin given two years to create a college?,1
Which individual offered land to Father Edward Sorin?,1
Which church was Father Edward Sorin representing?,1
On what date did brothers from Holy Cross arrive at the future location of Notre Dame?,1
Which structure was the first used for the purposes of the college?,1
In what year did the initial degrees get handed out at Notre Dame?,1
In what year did the original Sorin built Main Building get replaced?,1
Which individual began a library at Notre Dame?,1
"In what year had the library at Notre Dame reach 10,000 books?",1
In what year was the library at Notre Dame started?,1
When did Beyonce start becoming popular?,1
What areas did Beyonce compete in when she was growing up?,1
When did Beyonce leave Destiny's Child and become a solo singer?,1
In what city and state did Beyonce  grow up? ,1
In which decade did Beyonce become famous?,1
In what R&B group was she the lead singer?,1
What album made her a worldwide known artist?,1
Who managed the Destiny's Child group?,1
When did Beyoncé rise to fame?,1
What role did Beyoncé have in Destiny's Child?,1
What was the first album Beyoncé released as a solo artist?,1
When did Beyoncé release Dangerously in Love?,1
How many Grammy awards did Beyoncé win for her first solo album?,1
What was Beyoncé's role in Destiny's Child?,1
What was the name of Beyoncé's first solo album?,1
"After her second solo album, what other entertainment venture did Beyonce explore?",1
Which artist did Beyonce marry?,1
"To set the record for Grammys, how many did Beyonce win?",1
For what movie did Beyonce receive  her first Golden Globe nomination?,1
When did Beyonce take a hiatus in her career and take control of her management?,1
Which album was darker in tone from her previous work?,1
"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",1
When did Destiny's Child end their group act?,1
What was the name of Beyoncé's second solo album?,1
"What was Beyoncé's first acting job, in 2006?",1
Who is Beyoncé married to?,1
What is the name of Beyoncé's alter-ego?,1
"In her music, what are some recurring elements in them?",1
Time magazine named her one of the most 100 what people of the century?,1
Which magazine declared her the most dominant woman musician?,1
In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,1
What magazine rated Beyonce as the most powerful female musician in 2015?,1
How did Beyonce describe herself as a feminist?,1
In which years did Time rate Beyonce in the 100 most influential people in the world?,1
How many records has Beyonce sold in her 19 year career?,1
How many records did Beyoncé sell as part of Destiny's Child?,1
"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",1
How many Grammy awards has Beyoncé won?,1
What magazine named Beyoncé as the most powerful female musician for 2015?,1
Beyonce's younger sibling also sang with her in what band?,1
Where did Beyonce get her name from?,1
What race was Beyonce's father?,1
Beyonce's childhood home believed in what religion?,1
Beyonce's father worked as a sales manager for what company?,1
Beyonce's mother worked in what industry?,1
What younger sister of Beyonce also appeared in Destiny's Child?,1
Beyonce is a descendent of what Arcadian leader?,1
What company did Beyoncé's father work for when she was a child?,1
What did Beyoncé's mother own when Beyoncé was a child?,1
What is the name of Beyoncé's younger sister?,1
Beyoncé is a descendant of which Acadian leader?,1
Beyoncé was raised in what religion?,1
What town did Beyonce go to school in?,1
Who was the first person to notice Beyonce's singing ability?,1
Beyonce moved to which town after she left her first elementary school?,1
Which of her teachers discovered Beyonce's musical talent?,1
I which church was Beyonce  a member and soloist  in the choir?,1
What type of school was Parker Elementary School?,1
Which song did Beyonce sing to win a competition at age 7?,1
What city was Beyoncé's elementary school located in?,1
What was the name of Beyoncé's first dance instructor?,1
How old was Beyoncé when she won a school talent show?,1
What choir did Beyoncé sing in for two years?,1
Who decided to place Beyonce's group in Star Search the talent show?,1
"In 1995, who decided to manage the girls singing group?",1
Who was the first record label to give the girls a record deal?,1
Who brought Beyonce to California and enter her group in Star Search?,1
In what year did Beyonce's father quit his job to manage her group?,1
What large record company recorded Beyonce's group's first album?,1
What record company first signed Beyonce's group and later cut them?,1
At what age did Beyonce meet LaTavia Robertson?,1
How old was Beyoncé when she met LaTavia Roberson?,1
What was the name of the first group Beyoncé was a part of?,1
Who placed Girl's Tyme in Star Search?,1
When did Beyoncé begin to manage the girl group?,1
"Who signed the girl group on October 5, 1995?",1
Which film featured Destiny's Child's first major single?,1
"For which song, did Destiny's Child take home the grammy award for best R&B performance?",1
"Who did Beyonce record with for the movie ""The Best Man?""",1
Beyonce's group changed their name to Destiny's Child in what year?,1
The name Destiny's Child was based on a quote in which book of the Bible?,1
"Debut song, ""Killing Time"" was featured on what movie's sound track?",1
What song won Best R&B Performance in the 43 Annual Grammy Awards?,1
"What singer did Beyonce record a song with for the movie, ''The Best Man""?",1
Where did Destiny's Child get their name from?,1
"Destiny's Child song, Killing Time, was included in which film's soundtrack?",1
What was Destiny's Child's first major song hit?,1
When did Destiny's Child release their second album?,1
"Who did Beyoncé sing a duet with for ""The Best Man"" film?",1
What mental health issue did Beyonce go through?,1
What event occured after she was publicly criticized?,1
Who supported Beyonce through her depression?,1
What event caused Beyonce's depression?,1
How long was Beyonce depressed?,1
Who helped Beyonce fight her depression the most?,1
Who replaced Luckett and Roberson in Destiny's Child?,1
Who was blamed for Luckett and Roberson leaving Destiny's Child?,1
Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?,1
Which newest member was removed from Destiny's Child?,1
"""Charlie's Angels"" featured which single from the band members?",1
"How many weeks did their single ""Independent Women Part I"" stay on top?",1
"For what network, did Beyonce land a major movie role in?",1
"Their third album, Survivor, sold how many during its first week?",1
What French composer wrote the original opera ''Carmen'' in the 19th century?,1
What album caused a lawsuit to be filed in 2001?,1
Independent Women Part I was on which 2000 film's soundtrack?,1
Which film did Beyoncé star in 2001 with Mekhi Phifer?,1
What was the name of Destiny Child's third album?,1
Who filed a lawsuit over Survivor?,1
When did Destiny's Child announce their hiatus?,1
"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?",1
"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?",1
Beyonce starred with Cuba Gooding Jr. in which film?,1
"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?",1
Which other song from the soundtrack did better in the charts?,1
What film did Beyonce appear in with Mike Myers?,1
"What large amount did the movie ""Goldmember"" gross?",1
"What genre of movie did Beyonce star in with Cuba Gooding, Jr?",1
What song was the lead single from the film's sound track?,1
"How did the critics view the movie, ''The Fighting Temptations''?",1
What film did Beyoncé star in with Mike Myers in 2002?,1
What was Beyoncé's character called in Austin Powers in Goldmember?,1
Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,1
"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?",1
What song did Beyoncé release as the lead single from The Fighting Tempations?,1
What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,1
Beyonce's first album by herself was called what?,1
"How many has ""Dangerously in Love"" sould worldwide since its debut?",1
Beyonce's first number one song was which song?,1
How many top five singles came from her first album?,1
Beyonce's first solo album in the U.S. with what artist in the lead single?,1
What solo album did Beyonce release in 2003?,1
" The album, Dangerously in Love  achieved what spot on the Billboard Top 100 chart?",1
"""The Closer I get to You"" was recorded with which artist?",1
Which artist was associated with Beyoncé's premiere solo recording?,1
When did Beyoncé release her first solo album?,1
What is the lead single on Beyoncé's first album?,1
Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,1
How many awards did Beyoncé win at the 46th Grammy's Awards?,1
Destiny's Child's final album was named what?,1
Destiny's Child got a star on the Hollywood Walk of Fame in what year?,1
In what year did Beyonce embark on her Dangerously in Love tour of Europe?,1
What was the name of the final album of Destiny's Child?,1
It was announced that Destiny's Child would  disban in what European city?,1
When did Destiny's Child get their star on the Hollywood Walk of Fame?,1
What was the name of Beyoncé's European start that started in November 2003?,1
Who did Beyoncé tour with for the Verizon Lades First Tour?,1
"What major event did Beyoncé perform at on February 1, 2004?",1
What is the name of the final studio album from Destiny's Child?,1
How many albums did Beyonce sell in the first week when she released her second album?,1
The lead single from the album was which song?,1
"How many countries did her song ""Irreplaceable"" get number one status in?",1
How many singles did her second album produce?,1
What birthday did Beyonce's album B'Day celebrate?,1
"What artist did Beyonce duet with in the single, ""Deja Vu''?",1
How high did ''Deja Vu'' climb on the Billboard chart?,1
What is the name of Beyoncé's second album?,1
How many copies did B'Day sell during the first week of its release?,1
"Who collaborated with Beyoncé on the single, Deja Vu?",1
Which single from B'Day was only released in the U.K.?,1
What movie did Beyonce act in 2006?,1
Her second movie Beyonce did was what film?,1
"The single, ""Listen"" was featured in which movie?",1
Beyonce's first world tour was when?,1
How much money did Beyonce's tour make in 2007?,1
How many millions of dollars did ''The Pink Panther'' gross world-wide?,1
What did Beyonce call her first concert tour?,1
Who was Beyonce's duet with in ''Beautiful Liar''?,1
Which film did Beyoncé star with Steve Martin in?,1
Beyoncé's role in Dreamgirls was based on what pop singer?,1
What was the lead single for the Dreamgirls soundtrack?,1
What was the name of Beyoncé's first international tour?,1
What pop singer did a duet with Beyoncé on Beautiful Liar?,1
Beyonce got married in 2008 to whom?,1
"Her third album, ""I am...Sasha Fierce"" was released when?",1
"For which decade, did Beyonce have more top ten songs than any other woman?",1
Which singer beat out Beyonce for best video performance?,1
"In 2009, Beyonce started her second world tour and grossed how much money?",1
How did she reveal the marriage?,1
When did Beyonce begin her second world tour?,1
Who beat out Beyonce for Best Female Video ?,1
How much did the second world tour make in dollars?,1
When did Beyoncé get married?,1
Who did Beyoncé marry?,1
Who is Beyoncé's alter ego?,1
The video for what song won Beyoncé the 2009 MTV Video of the Year award?,1
Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?,1
"Beyonce portrayed which character in the film, Cadillac Records?",1
Beyonce gave her entire salary from Cadillac Records to which organization?,1
Which song did Beyonce sing at the first couple's inaugural ball? ,1
"What genre of film was the movie, Obsessed, in which Beyonce starred in?",1
"A fight scene from the movie, Obsessed, won which award for Beyonce?",1
Where did Beyonce donate her salary from the movie Cadillac Records?,1
What thriller film did Beyonce star in?,1
What was the name of the woman she played in Obsessed?,1
How much more that the buget did the film gross?,1
